,image_name,noise_level,Y_H,consensus,expert1,expert2,expert3,model_p0,model_p1,model_p2,model_pred_int
70,n04111531_4939,125,"[0, 0, 0]",0,0,0,0,0.987067091664089,0.007983439175546538,0.0049494691603647846,0
71,n02690373_6363,110,"[2, 2, 2]",2,2,2,2,5.751600802073308e-07,7.995590059398905e-06,0.9999914292498604,2
72,n03041632_4590,110,"[0, 0, 0]",0,0,0,0,0.9086171146096175,0.0332605005369387,0.058122384853443836,0
73,n01798484_5988,110,"[1, 1, 1]",1,1,1,1,3.2824114876613995e-05,0.9999665068721415,6.69012982072201e-07,1
74,n04467665_1187,110,"[2, 0, 2]",2,2,0,2,2.805565460584778e-05,2.764580602685254e-06,0.9999691797647914,2
75,n02690373_10181,110,"[2, 2, 2]",2,2,2,2,2.6381544413561865e-06,7.589815161600418e-06,0.999989772030397,2
76,n03085013_20805,110,"[0, 0, 0]",0,0,0,0,0.9999985772316621,1.1078577712489811e-06,3.1491056672130615e-07,0
77,n01820546_4631,125,"[1, 1, 1]",1,1,1,1,0.008615041089629199,0.9828290982798639,0.008555860630506904,1
78,n04505470_286,125,"[0, 0, 1]",0,0,0,1,0.8023650432779832,0.03615172679118925,0.16148322993082764,0
79,n03085013_2064,110,"[0, 0, 0]",0,0,0,0,0.9989530225163383,0.00069359298296807,0.00035338450069345386,0
80,n02504458_3906,110,"[1, 1, 1]",1,1,1,1,2.8013997580213323e-09,0.9999999966972777,5.013227319510206e-10,1
81,n03100240_2503,110,"[2, 2, 2]",2,2,2,2,8.11134754176907e-06,3.7146076065946203e-06,0.9999881740448519,2
82,n03792782_20387,125,"[2, 2, 2]",2,2,2,2,0.00019278481665893345,0.00018959617226340007,0.9996176190110776,2
83,n01798484_3762,125,"[1, 1, 1]",1,1,1,1,0.00011758641168312598,0.9998812761232705,1.1374650464480226e-06,1
84,n02708093_3504,110,"[0, 0, 0]",0,0,0,0,0.9837243944819746,0.0003491238263135828,0.01592648169171176,0
85,n01818515_7947,110,"[2, 1, 1]",1,2,1,1,0.007047607638721061,0.9877818692444106,0.005170523116868411,1
86,n01531178_2725,110,"[1, 1, 1]",1,1,1,1,1.653841137243912e-05,0.9999675024873997,1.5959101227856722e-05,1
87,n02835271_15617,125,"[2, 2, 2]",2,2,2,2,0.004350987411964799,0.034495527211667314,0.9611534853763677,2
88,n03376595_18370,110,"[0, 0, 2]",0,0,0,2,0.6415020378179016,0.1468213123398699,0.21167664984222845,0
89,n02123597_11271,125,"[2, 1, 1]",1,2,1,1,0.0073765623386358795,0.9917151041528675,0.0009083335084967059,1
90,n03376595_7516,110,"[0, 0, 0]",0,0,0,0,0.9931994055538249,0.006426557210695206,0.00037403723547983856,0
91,n04429376_7892,125,"[0, 0, 0]",0,0,0,0,0.9892725338838468,0.009310167268610834,0.001417298847542481,0
92,n03417042_9693,125,"[2, 2, 2]",2,2,2,2,0.0006684704416627342,0.000321514330206951,0.9990100152281304,2
93,n02124075_11068,125,"[0, 1, 1]",1,0,1,1,8.517820554413677e-05,0.9998991476517647,1.5674142691301326e-05,1
94,n03792782_32341,125,"[2, 0, 2]",2,2,0,2,0.032383031075968065,0.0622522685585129,0.905364700365519,2
95,n04111531_11655,110,"[0, 0, 0]",0,0,0,0,0.7156235845775822,0.017579413829319452,0.2667970015930984,0
96,n02133161_955,125,"[0, 1, 1]",1,0,1,1,0.0008956859104328696,0.9988672974858024,0.0002370166037648576,1
97,n03662601_2048,110,"[1, 1, 2]",1,1,1,2,0.024939969554347952,0.21085436994511295,0.7642056605005393,2
98,n02133161_4043,110,"[0, 1, 1]",1,0,1,1,0.000192008624512133,0.9997754251304326,3.256624505538963e-05,1
99,n03662601_30161,125,"[2, 0, 2]",2,2,0,2,0.0039216069707166635,0.0033791110889412504,0.9926992819403418,2
100,n02124075_7323,110,"[1, 1, 1]",1,1,1,1,0.000197083319664906,0.9997840865145035,1.8830165831791764e-05,1
101,n03792782_65779,110,"[2, 2, 2]",2,2,2,2,0.008493852438286974,0.12504856538550685,0.8664575821762062,2
102,n04273569_3897,125,"[2, 0, 2]",2,2,0,2,0.0031533440667638737,0.030740134942825226,0.9661065209904106,2
103,n02132136_7584,110,"[1, 1, 1]",1,1,1,1,0.0003305546587693053,0.9995834800270524,8.596531417827973e-05,1
104,n04429376_10128,110,"[0, 0, 0]",0,0,0,0,0.9999706780326437,9.337750240153055e-06,1.9984217115958506e-05,0
105,n03085013_25809,125,"[0, 0, 2]",0,0,0,2,0.17207410028508835,0.7756987056256566,0.05222719408925505,1
106,n02690373_2232,110,"[2, 2, 2]",2,2,2,2,0.08263114517003564,0.197031859435083,0.7203369953948814,2
107,n04579145_2276,125,"[0, 1, 1]",1,0,1,1,0.7227554766740639,0.27296545723331844,0.004279066092617323,0
108,n02504458_4553,125,"[0, 1, 1]",1,0,1,1,2.3814604012389453e-06,0.9999967479994389,8.705401599983258e-07,1
109,n04111531_22263,110,"[0, 0, 0]",0,0,0,0,0.9129131976041943,0.049196974307336924,0.0378898280884688,0
110,n02504013_15276,125,"[2, 1, 1]",1,2,1,1,0.0013668217954056038,0.9963797214584358,0.002253456746158683,1
111,n04429376_52173,110,"[0, 2, 2]",2,0,2,2,0.8940652641383808,0.06665793531664656,0.039276800544972554,0
112,n04111531_8263,125,"[0, 0, 2]",0,0,0,2,0.8340405824242828,0.0014403288653179087,0.1645190887103993,0
113,n03041632_29276,125,"[0, 0, 0]",0,0,0,0,0.9279191045214403,0.0030737089380946385,0.06900718654046537,0
114,n02504013_1515,125,"[0, 1, 1]",1,0,1,1,3.0196037530999383e-05,0.9999624415301915,7.362432277515807e-06,1
115,n03041632_18995,110,"[0, 0, 2]",0,0,0,2,0.9935013017418177,0.00581257951897836,0.0006861187392040933,0
116,n02091831_6436,110,"[1, 1, 1]",1,1,1,1,6.647500251070569e-07,0.9999971912417401,2.144008234723855e-06,1
117,n02823428_11353,110,"[0, 0, 0]",0,0,0,0,0.9999995315972843,3.7961274120239544e-07,8.878997447659082e-08,0
118,n03983396_5394,110,"[0, 0, 0]",0,0,0,0,0.9984937786469079,0.0005224641112730852,0.0009837572418188818,0
119,n02123597_10,125,"[1, 1, 1]",1,1,1,1,4.892900056051164e-06,0.9999948633376398,2.4376230420637465e-07,1
120,n02132136_8650,125,"[2, 1, 1]",1,2,1,1,0.0002997533800919017,0.998994700903045,0.000705545716863169,1
121,n03041632_6309,110,"[0, 0, 2]",0,0,0,2,0.7243446711149739,0.06503721592342562,0.21061811296160052,0
122,n02690373_4015,110,"[2, 0, 2]",2,2,0,2,0.03975537595549184,0.24909519691553367,0.7111494271289744,2
123,n03983396_1147,125,"[0, 0, 1]",0,0,0,1,0.9072545753428286,0.04629580302818343,0.04644962162898797,0
124,n04111531_172,110,"[0, 0, 1]",0,0,0,1,0.8515960458401923,0.09057976868830984,0.05782418547149803,0
125,n02690373_13317,110,"[2, 2, 2]",2,2,2,2,0.00086128221806407,0.0008085475407394237,0.9983301702411965,2
126,n02690373_10006,110,"[2, 2, 2]",2,2,2,2,0.002378126379050406,0.0042690976609098255,0.9933527759600401,2
127,n03417042_29384,110,"[2, 1, 2]",2,2,1,2,0.0344344447121596,0.10615567635106965,0.859409878936771,2
128,n04505470_206,110,"[0, 0, 0]",0,0,0,0,0.9874362467696116,0.004194879248093651,0.00836887398229478,0
129,n03196217_5995,110,"[0, 0, 2]",0,0,0,2,0.9215373907411889,0.014501595468358868,0.0639610137904525,0
130,n02133161_7233,110,"[0, 1, 1]",1,0,1,1,3.6020859089808197e-07,0.9999990806364788,5.591549303652987e-07,1
131,n02814533_16767,125,"[2, 2, 2]",2,2,2,2,0.021885266003020393,0.019112413864999952,0.9590023201319796,2
132,n04111531_2066,110,"[0, 0, 0]",0,0,0,0,0.5053898804017504,0.31437521234567334,0.18023490725257627,0
133,n04579145_558,125,"[0, 0, 1]",0,0,0,1,0.9495050036106266,0.04974559749357233,0.0007493988958010942,0
134,n04273569_4772,110,"[2, 2, 2]",2,2,2,2,0.00030920009624296074,0.004656926794960989,0.9950338731087959,2
135,n03041632_2058,110,"[0, 0, 0]",0,0,0,0,0.9998634802784402,1.904138711603504e-05,0.00011747833444378505,0
136,n02504013_10346,125,"[0, 1, 1]",1,0,1,1,8.490856555836058e-07,0.9999990534632025,9.745114200170623e-08,1
137,n04099969_381,110,"[0, 0, 2]",0,0,0,2,0.9647051595734824,0.006895692557654508,0.028399147868863155,0
138,n04111531_22291,125,"[0, 0, 0]",0,0,0,0,0.9465590228571908,0.0016944896425906053,0.05174648750021849,0
139,n04429376_7558,125,"[0, 0, 1]",0,0,0,1,0.6947926838224494,0.047070910638516594,0.258136405539034,0
140,n02504013_6148,110,"[1, 1, 1]",1,1,1,1,7.406984964472897e-06,0.9999901264358001,2.4665792354509226e-06,1
141,n04591713_2052,125,"[0, 1, 1]",1,0,1,1,0.7465402814501488,0.03280498650338614,0.22065473204646532,0
142,n02134084_27094,110,"[1, 1, 1]",1,1,1,1,0.011905090914192961,0.9870084175576948,0.0010864915281123327,1
143,n02134084_16430,125,"[1, 1, 1]",1,1,1,1,0.010965236131221225,0.9856010656546716,0.003433698214106915,1
144,n04505470_2909,125,"[0, 0, 0]",0,0,0,0,0.9765839455182506,0.009540676786464152,0.013875377695285563,0
145,n03983396_5394,125,"[0, 0, 1]",0,0,0,1,0.9987902283528447,0.0003601680162335085,0.0008496036309217482,0
146,n03376595_1135,110,"[0, 0, 0]",0,0,0,0,0.9914640133471775,0.0017158495911855898,0.006820137061636885,0
147,n04111531_807,125,"[0, 0, 1]",0,0,0,1,0.5502877238906327,0.2080436609565443,0.2416686151528231,0
148,n02708093_2530,125,"[0, 0, 0]",0,0,0,0,0.9999886177780849,7.422366251551987e-06,3.959855663382138e-06,0
149,n02690373_7408,110,"[2, 2, 2]",2,2,2,2,1.6410249716819967e-06,1.6087147505945555e-05,0.9999822718275224,2
150,n02835271_7628,110,"[2, 2, 2]",2,2,2,2,0.00014926730320497834,3.5002719770212366e-05,0.9998157299770248,2
151,n04273569_13641,110,"[2, 2, 2]",2,2,2,2,0.00020523835032740817,0.001390489986718381,0.9984042716629541,2
152,n02113624_613,125,"[0, 1, 1]",1,0,1,1,0.05914591569773299,0.940393625419511,0.00046045888275583746,1
153,n03417042_12509,125,"[2, 0, 2]",2,2,0,2,1.3146754295192223e-06,1.8688590567884682e-07,0.9999984984386647,2
154,n03041632_77022,110,"[0, 0, 0]",0,0,0,0,0.9743579905794205,0.004813856482230439,0.020828152938349186,0
155,n04111531_505,110,"[0, 0, 2]",0,0,0,2,0.8763403915759397,0.04851624165632307,0.07514336676773735,0
156,n02814533_82674,110,"[2, 0, 2]",2,2,0,2,0.21480819940178136,0.0012974958446909436,0.7838943047535276,2
157,n03662601_8787,125,"[2, 2, 2]",2,2,2,2,7.783551836203338e-05,0.00011770015320807379,0.9998044643284297,2
158,n03792782_16408,125,"[2, 2, 2]",2,2,2,2,3.1944563807200706e-05,6.230833044911784e-05,0.9999057471057439,2
159,n03196217_3086,110,"[0, 0, 2]",0,0,0,2,0.3626643833819087,0.0052508327673488125,0.6320847838507425,2
160,n03792782_44390,110,"[2, 1, 2]",2,2,1,2,0.0010215727104202915,0.0010740343894581176,0.9979043929001215,2
161,n04467665_21603,125,"[2, 0, 2]",2,2,0,2,0.00030429293313389725,0.001516944206092834,0.9981787628607732,2
162,n04548280_2045,125,"[0, 0, 0]",0,0,0,0,0.9999943310889987,4.722266226904978e-06,9.466447742882642e-07,0
163,n02132136_6817,125,"[2, 1, 1]",1,2,1,1,0.00014005517644267052,0.9996992245230918,0.00016072030046544343,1
164,n02504458_4117,110,"[0, 1, 1]",1,0,1,1,0.0008012412964257953,0.9964184293201335,0.0027803293834407373,1
165,n03792782_51156,110,"[2, 2, 2]",2,2,2,2,9.312198446802716e-07,1.1071573187739403e-06,0.9999979616228367,2
166,n04505470_10211,110,"[0, 0, 2]",0,0,0,2,0.9958672217980158,0.0010147189561350589,0.0031180592458492206,0
167,n03041632_46422,110,"[0, 0, 0]",0,0,0,0,0.9678055513845727,0.0020037956905606114,0.03019065292486694,0
168,n04505470_5561,110,"[0, 0, 0]",0,0,0,0,0.9969929045850603,0.001224784142579097,0.0017823112723605542,0
169,n04099969_5190,110,"[0, 0, 0]",0,0,0,0,0.9926988377367825,0.004201207385070484,0.0030999548781467726,0
170,n02814533_26334,110,"[2, 0, 2]",2,2,0,2,0.004155799083148951,0.001599664331035188,0.9942445365858157,2
171,n02096294_12418,125,"[1, 1, 1]",1,1,1,1,0.0003868991911770552,0.9991603281690002,0.00045277263982259106,1
172,n02708093_1131,125,"[0, 0, 0]",0,0,0,0,0.9990275263289962,0.00026896570273497337,0.0007035079682689732,0
173,n03417042_8295,110,"[2, 1, 2]",2,2,1,2,0.020866346797599307,0.02505411694258965,0.9540795362598111,2
174,n04099969_4100,110,"[0, 0, 0]",0,0,0,0,0.22529777089224862,0.7649140732910927,0.009788155816658692,1
175,n02134084_7387,110,"[2, 2, 2]",2,2,2,2,0.08594091975004808,0.2620313089936162,0.6520277712563356,2
176,n04429376_7892,110,"[0, 0, 1]",0,0,0,1,0.9996532051445217,0.0002714878942276849,7.530696125055551e-05,0
177,n02123159_5993,110,"[0, 1, 1]",1,0,1,1,0.004512574646141111,0.9863595867120742,0.009127838641784684,1
178,n03041632_3171,125,"[0, 0, 0]",0,0,0,0,0.9999935645931518,5.895219554364188e-06,5.401872939036543e-07,0
179,n02690373_3698,125,"[2, 2, 2]",2,2,2,2,1.538271265769308e-05,0.00011156370819150022,0.9998730535791507,2
180,n04505470_4854,110,"[0, 0, 2]",0,0,0,2,0.9979817995111891,9.514349221951789e-05,0.001923056996591123,0
181,n03376595_6012,110,"[0, 0, 2]",0,0,0,2,0.4074308586803762,0.023585695167840724,0.5689834461517831,2
182,n03937543_3726,110,"[0, 0, 0]",0,0,0,0,0.9994372124269951,0.0003259841490566097,0.0002368034239480669,0
183,n02123394_2765,125,"[1, 1, 1]",1,1,1,1,4.664848866894173e-05,0.9999520620276603,1.2894836705595213e-06,1
184,n04285008_14345,125,"[2, 2, 2]",2,2,2,2,0.0030256662887458057,0.0009568268514704634,0.9960175068597836,2
185,n02096294_12418,110,"[1, 1, 1]",1,1,1,1,0.0014137619983282557,0.9951704978149545,0.003415740186717473,1
186,n03100240_1194,125,"[2, 1, 2]",2,2,1,2,0.07903959836935487,0.027035802498362887,0.8939245991322823,2
187,n02708093_960,125,"[0, 0, 0]",0,0,0,0,0.9998705197781409,3.181454122440922e-05,9.766568063449924e-05,0
188,n04111531_9178,110,"[0, 0, 2]",0,0,0,2,0.736549640595831,0.0011064170853109213,0.2623439423188582,0
189,n02690373_13613,125,"[2, 2, 2]",2,2,2,2,3.075107320138113e-06,8.083823308635152e-05,0.9999160866595935,2
190,n02814533_42481,110,"[2, 2, 2]",2,2,2,2,1.3677193895398709e-05,1.9486012621825087e-05,0.999966836793483,2
191,n02132136_6459,125,"[2, 1, 1]",1,2,1,1,0.0006045570144273104,0.9991040700712464,0.0002913729143261108,1
192,n02123159_6960,110,"[1, 1, 1]",1,1,1,1,2.0059596984799457e-05,0.9999731279422984,6.8124607167409664e-06,1
193,n02835271_8417,110,"[2, 2, 2]",2,2,2,2,1.818349399859465e-05,1.4830229926943291e-05,0.9999669862760744,2
194,n02504013_6865,125,"[0, 1, 1]",1,0,1,1,0.03311843184004534,0.9614364034994412,0.005445164660513496,1
195,n04099969_7545,110,"[0, 0, 1]",0,0,0,1,0.7865076269370228,0.20741554437141949,0.006076828691557709,0
196,n03041632_21560,110,"[0, 0, 0]",0,0,0,0,0.8817935629047193,0.042047445307277234,0.0761589917880036,0
197,n02134418_2372,125,"[2, 1, 2]",2,2,1,2,0.007509526353020041,0.985553496471258,0.006936977175722139,1
198,n02791124_16885,110,"[0, 0, 0]",0,0,0,0,0.9933282321584425,0.004097142745706522,0.002574625095850758,0
199,n02690373_18234,125,"[2, 2, 2]",2,2,2,2,1.6766228934338332e-10,1.3663447506335636e-09,0.9999999984659927,2
200,n04467665_67327,110,"[2, 2, 2]",2,2,2,2,3.5692106081522056e-05,5.15508779914445e-05,0.9999127570159271,2
201,n04111531_22466,125,"[0, 0, 0]",0,0,0,0,0.9554192481655566,0.0102880540492242,0.03429269778521905,0
202,n04557648_9043,110,"[0, 1, 1]",1,0,1,1,0.011640073608594469,0.0927819853941245,0.8955779409972812,2
203,n03417042_10965,125,"[2, 1, 2]",2,2,1,2,0.06519457588960906,0.16553792147766444,0.7692675026327264,2
204,n03100240_2012,125,"[2, 2, 2]",2,2,2,2,6.902067197283151e-06,1.736667820539988e-05,0.9999757312545973,2
205,n03417042_19596,125,"[2, 2, 2]",2,2,2,2,0.0018290153062184224,0.002462657192603245,0.9957083275011782,2
206,n02134418_603,125,"[2, 1, 1]",1,2,1,1,0.0021959252443945116,0.983516363623872,0.014287711131733466,1
207,n03792782_63173,125,"[1, 1, 2]",1,1,1,2,0.046130408540249086,0.142038370741603,0.811831220718148,2
208,n02951358_6637,110,"[2, 2, 2]",2,2,2,2,0.0009308321104156732,0.0004855677447690325,0.9985836001448154,2
209,n02791124_3117,125,"[0, 0, 2]",0,0,0,2,0.964725126124978,0.027041477297801642,0.008233396577220492,0
210,n04505470_3286,110,"[0, 0, 0]",0,0,0,0,0.999999963783376,3.3152443962581215e-09,3.290137980586842e-08,0
211,n02504013_174,110,"[2, 1, 1]",1,2,1,1,0.00023744542378287452,0.9994971113666901,0.00026544320952689277,1
212,n02690373_10374,110,"[2, 2, 2]",2,2,2,2,0.0006912958094457569,0.0019244159961079423,0.9973842881944464,2
213,n02125311_37753,110,"[1, 1, 1]",1,1,1,1,1.0563106556796492e-06,0.9999986798031206,2.6388622366094995e-07,1
214,n03041632_39836,125,"[0, 0, 2]",0,0,0,2,0.928219989301144,0.01965392946960918,0.052126081229247105,0
215,n04111531_27,125,"[0, 0, 0]",0,0,0,0,0.7684907230136594,0.012235593445694463,0.21927368354064647,0
216,n02708093_7032,110,"[0, 0, 2]",0,0,0,2,0.9999701707629866,8.627209795053121e-06,2.120202721830039e-05,0
217,n02690373_2908,125,"[2, 1, 2]",2,2,1,2,0.0005512470002924365,0.5208405735513232,0.47860817944838435,1
218,n02504013_3821,110,"[1, 1, 1]",1,1,1,1,1.249908752047681e-06,0.9999982661217233,4.839695245696243e-07,1
219,n04505470_3132,125,"[0, 0, 2]",0,0,0,2,0.9979283968884375,0.00046923089553682715,0.001602372216025643,0
220,n04285008_13197,125,"[2, 2, 2]",2,2,2,2,0.0008404996869395238,0.0001356016995918956,0.9990238986134683,2
221,n03041632_13203,110,"[0, 0, 0]",0,0,0,0,0.9999999163875744,5.7193406569516325e-08,2.6419019109529165e-08,0
222,n02690373_2498,110,"[2, 2, 2]",2,2,2,2,0.0003851694443079339,0.00045686484939071447,0.9991579657063013,2
223,n02504013_8614,110,"[0, 1, 1]",1,0,1,1,7.43490712698374e-09,0.999999990027509,2.537583982460514e-09,1
224,n02504458_7144,110,"[1, 1, 1]",1,1,1,1,2.7899769545085893e-05,0.9999013023091892,7.079792126577488e-05,1
