,image_name,expert1,expert2,expert3,consensus,noise_level,model_p0,model_p1,model_p2
21,n04111531_2462,0,0,2,0,120,0.554286015683892,0.18808953506540066,0.25762444925070743
22,n02814533_31493,2,2,2,2,120,0.003752769172509019,0.005587154945439105,0.9906600758820521
23,n04111531_7106,0,2,0,0,120,0.9950535234584558,0.002046445759047395,0.0029000307824968534
24,n02133161_12901,1,1,1,1,120,0.048493002787918627,0.9415019431830052,0.010005054029076449
25,n02835271_22549,2,2,2,2,120,0.000136271871059066,1.931373678796284e-05,0.999844414392153
26,n02708093_1131,0,0,0,0,120,0.27305672901367684,0.7068446523126589,0.020098618673664272
27,n02028035_23375,1,1,1,1,120,0.0023763056285594814,0.9515585856332777,0.0460651087381628
28,n03376595_5876,0,0,0,0,120,0.8955648714830948,0.016305974935227112,0.08812915358167811
29,n03376595_2716,0,0,0,0,120,0.8381695833302406,0.11434234045323975,0.04748807621651959
30,n02124075_13772,1,1,1,1,120,0.009656835570271133,0.9871696537953825,0.0031735106343464517
31,n02690373_10181,2,2,2,2,120,5.584972866121715e-05,0.000516985861837224,0.9994271644095014
32,n03085013_20805,0,0,0,0,120,0.9845936517944315,0.015343411745649167,6.293645991927661e-05
33,n04273569_6707,2,2,2,2,120,0.0018348974876414967,0.34769782247032405,0.6504672800420342
34,n03376595_3233,0,0,0,0,120,0.6954136086358459,0.12309533293456104,0.18149105842959312
35,n02106030_889,1,1,1,1,120,0.009444467057403988,0.9885505794450082,0.0020049534975877053
36,n02504013_3821,1,1,1,1,120,0.00019843305718144602,0.9980272539191932,0.0017743130236253775
37,n04111531_1708,0,2,2,2,120,0.9928707583812159,0.004497060877794754,0.0026321807409893337
38,n03041632_11700,0,0,0,0,120,0.9686265665827212,0.013815462852273759,0.017557970565004882
39,n03662601_30161,2,0,2,2,120,0.026072638344702612,0.009874206679111434,0.9640531549761859
40,n02814533_874,2,0,2,2,120,2.9979124939581904e-06,3.740695362627993e-05,0.9999595951338798
41,n02835271_12981,2,0,2,2,120,0.19560119772254633,0.6787984061042482,0.1256003961732055
42,n02007558_7614,1,1,1,1,120,0.001829905149221229,0.9981296426636939,4.0452187084897194e-05
43,n04285008_7900,2,2,2,2,120,0.08334116772528195,0.011450367139388698,0.9052084651353295
44,n02504013_1844,0,1,1,1,120,0.01100998674365272,0.984002166582266,0.004987846674081013
45,n02123597_6517,1,1,1,1,120,0.002438012501050015,0.9963535173265945,0.0012084701723556247
46,n02504458_5507,1,1,1,1,120,0.00012733620700034907,0.9983630979318299,0.0015095658611696456
47,n04111531_9910,0,0,0,0,120,0.8736384714914562,0.028428673795639625,0.09793285471290408
48,n03196217_3272,0,0,0,0,120,0.9994142961310873,2.345124193762479e-05,0.0005622526269750042
49,n02791124_6463,0,0,0,0,120,0.9605943807038602,0.0016076331224291157,0.037797986173711
50,n04099969_13775,0,0,0,0,120,0.8923536345328733,0.08655005661211321,0.021096308855013415
51,n02132136_31133,1,1,1,1,120,0.018400791602277502,0.8995675318792355,0.08203167651848708
52,n03344393_7175,2,0,2,2,120,0.013953994046598767,0.004484720969083833,0.9815612849843174
53,n03041632_16104,0,0,2,0,120,0.7298563432015484,0.2501276518021486,0.020016004996302874
54,n03041632_14774,0,0,0,0,120,0.7029477529704153,0.11758405067843374,0.17946819635115066
55,n03100240_3073,2,2,2,2,120,0.00018701301774421976,0.0002297485845132324,0.9995832383977424
56,n04505470_207,0,0,0,0,120,0.9964365981844626,0.0016375849246263437,0.001925816890911088
57,n01818515_7947,2,1,1,1,120,0.12053402272046762,0.8522082442369264,0.027257733042605863
58,n03085013_5726,0,0,0,0,120,0.8754841207689816,0.006512018548129991,0.11800386068288835
59,n03344393_4294,2,2,2,2,120,0.000641266876502556,0.0035478887440285613,0.9958108443794688
60,n04273569_17179,2,2,2,2,120,9.182560960477136e-05,0.004493077148699216,0.995415097241696
61,n02091032_7280,1,1,1,1,120,0.11615839640492205,0.8808705690021574,0.002971034592920452
62,n04560804_14130,0,0,0,0,120,0.8464559565782036,0.1522325044212594,0.0013115390005368603
63,n04111531_1362,0,0,0,0,120,0.31038595056288654,0.014193978805708357,0.6754200706314049
64,n04285008_13197,2,2,2,2,120,0.001034838319278625,0.00013374590114023768,0.9988314157795812
65,n02100735_10276,0,1,1,1,120,0.005266031612105278,0.9884666792997596,0.006267289088135175
66,n02708093_2588,0,0,2,0,120,0.6592176308893049,0.32169750271520375,0.019084866395491448
67,n02835271_3280,2,0,2,2,120,0.3775281494068744,0.20237918685653286,0.4200926637365929
68,n04111531_5643,2,1,2,2,120,0.09663102450853212,0.0016344992224978593,0.90173447626897
69,n02109525_23299,1,1,1,1,120,0.0002380857352461504,0.9996854826444906,7.643162026320987e-05
70,n04111531_10436,0,0,0,0,120,0.9566215813684331,0.0073485706085319085,0.03602984802303513
71,n02107574_3775,1,1,1,1,120,0.017667398994940926,0.9323259845551003,0.050006616449958796
72,n02091032_6740,1,1,1,1,120,0.014878066772818799,0.9526565557506324,0.03246537747654883
73,n04111531_9939,0,2,2,2,120,0.3378082863135278,0.1651296671759568,0.4970620465105154
74,n03792782_12752,0,2,2,2,120,0.006917309099725155,0.13959741615814034,0.8534852747421346
75,n04467665_45963,2,2,2,2,120,0.00020821627399137947,5.083544468342042e-05,0.9997409482813253
76,n02124075_4933,1,1,1,1,120,0.004090328012720317,0.9957550599795144,0.0001546120077653419
77,n02134084_23292,1,1,1,1,120,0.011843410230085828,0.9858507168828958,0.002305872887018448
78,n02708093_3601,0,0,0,0,120,0.5547770203913363,0.03826877577264099,0.40695420383602277
79,n02835271_2594,2,2,2,2,120,0.0014371638112653886,0.0008708198903955311,0.9976920162983393
80,n03417042_2204,2,2,2,2,120,0.35824898850925146,0.022659789845404375,0.6190912216453441
81,n04548280_3531,0,0,0,0,120,0.9043070066687373,0.05037327333654207,0.0453197199947207
82,n03417042_8076,2,2,0,2,120,0.008465800288903862,0.00025714915894049735,0.9912770505521554
83,n02123045_9305,1,1,1,1,120,0.011216114339312622,0.9886870990914952,9.678656919225455e-05
84,n04548280_5013,0,0,0,0,120,0.9975607471259226,0.0014731005469668672,0.000966152327110618
85,n04111531_4879,0,0,0,0,120,0.7430794146554458,0.10016668192217767,0.15675390342237633
86,n01558993_14305,1,1,1,1,120,0.0005437587176839657,0.9989451938870003,0.0005110473953156752
87,n03085013_4281,0,2,0,0,120,0.7947782799330149,0.14119595503128304,0.06402576503570202
88,n02835271_13489,2,2,2,2,120,0.22878135715833367,0.02631757931646872,0.7449010635251977
89,n03041632_12949,2,0,2,2,120,0.0787614244759919,0.24579889111626135,0.6754396844077467
90,n02006656_11301,1,1,1,1,120,0.01343880663420136,0.9821046004035309,0.004456592962267753
91,n04285008_8918,2,2,2,2,120,0.0915776015135488,0.005047643826344407,0.9033747546601069
92,n02791124_4296,0,0,0,0,120,0.9880954884557687,0.006838427697470604,0.005066083846760703
93,n02132136_6817,1,1,1,1,120,0.001016218935099669,0.9969238810124625,0.002059900052437771
94,n03196217_6467,0,0,0,0,120,0.6778692788042918,0.00879017346242655,0.31334054773328185
95,n02504013_19694,1,1,1,1,120,0.0023621778009886626,0.9893321550986811,0.008305667100330351
96,n02951358_3452,2,2,2,2,120,0.003565957437958035,0.9245559094744222,0.07187813308761967
97,n02093859_2564,0,1,1,1,120,0.018198256851020764,0.9768931414496193,0.004908601699359968
98,n02095570_2773,1,1,1,1,120,0.038915729654000655,0.5650807832478383,0.3960034870981612
99,n03041632_21560,0,0,0,0,120,0.54561820627876,0.3922052201603717,0.0621765735608683
100,n04591713_5201,0,0,1,0,120,0.03712429971668255,0.9609513964023517,0.0019243038809657108
101,n02123045_10717,1,1,1,1,120,0.020759755704212682,0.978644189229715,0.0005960550660723538
102,n02132136_131,1,1,1,1,120,0.0030556745368926722,0.9957714898542486,0.0011728356088586483
103,n04579145_2046,0,0,0,0,120,0.37642366942328354,0.011089003880487426,0.612487326696229
104,n02690373_9537,2,2,2,2,120,0.00616272850579097,0.001533596767632276,0.9923036747265768
105,n03344393_8399,2,2,0,2,120,0.19949044569643073,0.027543199971407275,0.772966354332162
106,n03041632_35260,0,0,0,0,120,0.7552840118257786,0.005068383011611797,0.23964760516260936
107,n02690373_1050,2,2,2,2,120,0.026630447191736212,0.014558750086214817,0.9588108027220488
108,n04111531_22020,0,0,2,0,120,0.8578486377844787,0.002544800239853538,0.1396065619756676
109,n03792782_1466,2,0,2,2,120,0.4025665133066666,0.28887210025374704,0.30856138643958625
110,n02134084_134,1,1,1,1,120,0.013069824137156261,0.9852452564473537,0.001684919415489908
111,n02108915_7266,1,1,1,1,120,0.016983171459463847,0.9772619160896633,0.005754912450872937
112,n02125311_36651,1,1,1,1,120,0.014629046604436646,0.9811047412193156,0.00426621217624778
113,n02814533_27597,2,2,2,2,120,0.002651774553233852,0.0027754898580266336,0.9945727355887396
114,n04560804_14491,0,0,0,0,120,0.3526174673232701,0.4457495870740354,0.20163294560269457
115,n02791124_60,0,0,0,0,120,0.36394684164335195,0.52693030280469,0.10912285555195822
116,n03376595_9395,0,0,0,0,120,0.7415800368323157,0.20987431582607505,0.048545647341609176
117,n01796340_11254,1,1,1,1,120,0.021608007850874043,0.9550447000176089,0.023347292131516973
118,n02504458_4583,1,1,1,1,120,3.7406850881074326e-05,0.9999535187937199,9.074355398784578e-06
119,n04111531_9178,0,0,0,0,120,0.16077530545698818,0.027757265818982586,0.8114674287240292
120,n03041632_42196,0,0,0,0,120,0.8897119509388322,0.00999812736190291,0.10028992169926507
121,n04111531_21918,0,0,0,0,120,0.4699875104215643,0.023288473941943708,0.5067240156364922
122,n04111531_5756,0,0,0,0,120,0.9027871783729834,0.011918014687615169,0.08529480693940159
123,n02814533_27484,2,2,2,2,120,0.006639885978033715,0.0005551774281718325,0.9928049365937944
124,n02124075_4189,1,1,1,1,120,0.004820030494586828,0.9950217587413549,0.00015821076405812974
125,n02106030_17418,1,1,1,1,120,0.002382902599094562,0.9973741529150665,0.00024294448583895927
126,n02791124_12832,0,0,0,0,120,0.7402523196627685,0.007838317571488444,0.2519093627657432
127,n03796401_7104,0,0,0,0,120,0.388480772536295,0.4466879966168456,0.16483123084685936
128,n04285008_6877,2,2,2,2,120,0.006679397898214562,0.00351644063506946,0.9898041614667158
129,n04099969_381,0,0,0,0,120,0.7311893368547168,0.10383021283545062,0.16498045030983285
130,n03041632_22570,0,0,0,0,120,0.4695324541487278,0.47804494337274483,0.05242260247852741
131,n02125311_60143,1,1,1,1,120,0.16526657484594853,0.8317608500813903,0.002972575072661218
132,n02098105_2343,1,1,1,1,120,0.002119656952822111,0.9967206784240447,0.0011596646231332567
133,n02708093_2867,0,0,0,0,120,0.8378648465128204,0.11705897724832603,0.0450761762388536
134,n02123159_3996,1,1,1,1,120,0.3706293145628243,0.6042500579358915,0.025120627501284142
135,n02690373_243,2,2,2,2,120,7.428591107038001e-05,0.00024654602443809076,0.9996791680644915
136,n03792782_176,2,1,1,1,120,0.004341970001758763,0.9922301869545018,0.003427843043739414
137,n04285008_11688,2,2,2,2,120,0.002955664057308532,0.0060699790398744315,0.9909743569028169
138,n03792782_35669,2,2,2,2,120,0.1659722936273155,0.7414647584956097,0.09256294787707486
139,n04111531_7283,0,0,0,0,120,0.8075083411660539,0.045263696532069395,0.14722796230187687
140,n03085013_19343,0,0,0,0,120,0.956299841398772,0.03040439562077349,0.01329576298045443
141,n02835271_15691,2,2,2,2,120,0.04274246928288504,0.050582125918151366,0.9066754047989636
142,n03417042_7682,2,2,2,2,120,0.05695265747090392,0.018046121194120135,0.925001221334976
143,n01860187_38598,2,1,1,1,120,0.01363017518627269,0.9514339486742365,0.0349358761394909
144,n02133161_2399,1,0,0,0,120,0.037406291633969295,0.9440879195004618,0.018505788865568855
145,n03417042_10885,2,2,0,2,120,0.2754588557731966,0.04030544882513626,0.6842356954016672
146,n02123597_6333,1,1,1,1,120,0.03471101378190466,0.9648632899823918,0.00042569623570352054
147,n02690373_7432,2,2,2,2,120,0.12544207886341965,0.0125701288429784,0.8619877922936019
148,n03792782_10929,2,2,2,2,120,0.058868844351225025,0.20878567903393125,0.7323454766148436
149,n02102973_7074,2,1,1,1,120,0.004144538759248956,0.9807809114174573,0.015074549823293724
150,n03796401_8037,2,2,2,2,120,0.000214767239612602,9.756550830928406e-05,0.9996876672520784
151,n02123597_334,1,1,1,1,120,0.012736167283472606,0.9864553272695592,0.0008085054469680884
152,n02708093_5127,0,0,0,0,120,0.99084960173872,0.0032373049123881896,0.005913093348891873
153,n02133161_4043,1,1,0,1,120,0.023604811955391554,0.9642909313681566,0.01210425667645214
154,n03196217_3358,0,1,0,0,120,0.35825532351776956,0.4508771527523212,0.19086752372990923
155,n03085013_25809,0,0,2,0,120,0.07610974216155299,0.8825867744012866,0.041303483437160574
156,n03041632_50332,0,0,0,0,120,0.9910055917837857,0.005308884628896312,0.0036855235873179417
157,n03796401_16472,2,2,2,2,120,0.00026044982969912825,0.0017439838259181058,0.9979955663443828
158,n04273569_3897,2,2,2,2,120,0.027246224427363602,0.2694815811203507,0.7032721944522858
159,n02124075_5848,1,1,1,1,120,0.016580991698999275,0.980490613674841,0.0029283946261597273
160,n03085013_6986,0,0,0,0,120,0.987228337283421,0.007881891298351063,0.004889771418228058
161,n02090379_3045,1,1,1,1,120,0.0003718894001372179,0.9996119422299232,1.6168369939475942e-05
162,n04111531_9613,0,0,0,0,120,0.8318371105985618,0.11446754547573486,0.053695343925703506
163,n02124075_7520,1,1,1,1,120,0.36740551646842884,0.6038108524830126,0.028783631048558352
164,n02504458_4117,1,1,1,1,120,0.0030355607976832615,0.9882339597140977,0.008730479488219093
165,n02025239_7274,1,1,1,1,120,4.615757292318131e-06,0.9999629736416531,3.2410601054590854e-05
166,n04548280_7211,0,0,0,0,120,0.9998371431948246,0.00010364871731667749,5.920808785874461e-05
167,n03376595_54,0,0,0,0,120,0.4805806930384342,0.24481526811217585,0.27460403884939
168,n02690373_1974,2,2,2,2,120,0.0009435342475068147,0.0004888682584992234,0.998567597493994
169,n04285008_7096,2,0,2,2,120,0.0008624639217439983,0.0003001996228755234,0.9988373364553808
170,n03983396_899,0,0,0,0,120,0.5817360128118242,0.3337315347117355,0.08453245247644048
171,n03085013_20877,0,0,0,0,120,0.9961718208090323,0.002105685544142764,0.0017224936468249095
172,n04467665_44850,2,2,2,2,120,0.4420339709083411,0.01272718113878272,0.5452388479528762
173,n04111531_21963,0,0,2,0,120,0.7205975284819158,0.054177293242495234,0.22522517827558905
174,n02791124_525,0,0,2,0,120,0.8481824557285441,0.10994500011286931,0.041872544158586544
175,n02133161_489,1,1,1,1,120,1.4148881821707452e-05,0.9999732497116053,1.2601406572965521e-05
176,n02027492_20576,1,1,1,1,120,0.00011885456557573986,0.9997280989248402,0.00015304650958416872
177,n02823428_3178,0,0,0,0,120,0.8956812308458898,0.0982184767177702,0.006100292436340015
178,n03417042_8295,2,2,2,2,120,0.8624047648354594,0.034525496259733744,0.10306973890480671
179,n02814533_29367,2,0,2,2,120,0.00755057003630109,0.5349190117850291,0.4575304181786698
180,n02097298_8119,1,1,1,1,120,0.001396883394558954,0.9969308304872849,0.0016722861181560893
181,n04505470_4978,0,0,0,0,120,0.999092013662262,0.00041077513527598025,0.0004972112024618488
182,n02090379_1687,0,1,0,0,120,0.9147484161119183,0.0376605138527735,0.04759107003530841
183,n02791124_4595,0,0,2,0,120,0.9551134502695084,0.01920468573546154,0.025681863995030092
184,n02791124_7824,0,0,0,0,120,0.5334797276419969,0.33068677164965415,0.13583350070834915
185,n04285008_11965,2,2,2,2,120,0.0004913012893103424,0.002581135450138218,0.9969275632605514
186,n03041632_29276,0,0,0,0,120,0.7508027704497474,0.015392906938665924,0.23380432261158654
187,n04429376_57425,0,0,0,0,120,0.8008431591349526,0.17797850523750297,0.021178335627544356
188,n02132136_9232,1,1,1,1,120,5.01510230320639e-05,0.99994688331601,2.965660957795429e-06
189,n03417042_29384,2,0,2,2,120,0.01649176836601918,0.12992238649194618,0.8535858451420345
190,n04285008_8880,2,2,2,2,120,0.00019123354527036731,0.000104184721577696,0.999704581733152
191,n03983396_21920,0,0,0,0,120,0.7893916205248475,0.05049091592433021,0.1601174635508221
192,n01824575_3514,1,1,1,1,120,0.04408669369222727,0.9495786449397661,0.006334661368006649
193,n02092339_3174,1,1,0,1,120,0.0007378672677146508,0.9989741570249752,0.00028797570731011547
194,n02123159_1008,1,1,1,1,120,0.0073628409557170565,0.9925237718626626,0.0001133871816204043
195,n02089867_5477,1,1,1,1,120,0.030502896451067782,0.9568430943368837,0.012654009212048374
196,n01828970_2030,1,1,1,1,120,2.0663291536210126e-05,0.9999777842331047,1.5524753590890766e-06
197,n02124075_7323,1,1,1,1,120,0.0008801402164089186,0.9989907165060457,0.0001291432775453216
198,n02504013_5087,1,1,1,1,120,0.03245090567362356,0.9475035315242183,0.02004556280215796
199,n02504013_6897,1,1,1,1,120,0.017610649382199906,0.97406371004637,0.008325640571430133
200,n02835271_5858,2,2,2,2,120,0.24438930272541237,0.0896259096698576,0.66598478760473
201,n04591713_3894,0,0,0,0,120,0.9999975652863292,1.8760740709532414e-06,5.586395997140058e-07
202,n03662601_32251,2,2,2,2,120,0.00012217538358412912,3.867078504663624e-05,0.9998391538313692
203,n02124075_11068,1,1,1,1,120,0.004187039908305492,0.9955934172648726,0.00021954282682184627
204,n02814533_3375,2,2,2,2,120,8.139027341017623e-05,4.839982700195738e-05,0.9998702098995877
205,n03662601_326,2,2,2,2,120,1.8107876045148365e-05,2.3838288938222748e-05,0.9999580538350168
206,n02823428_11353,0,0,0,0,120,0.9984233044237505,0.0006659641586398007,0.0009107314176096293
207,n04505470_2389,0,0,0,0,120,0.9053233521422359,0.0015418765669463843,0.09313477129081779
208,n03041632_3171,0,0,0,0,120,0.999287921450805,0.0004737295720144136,0.00023834897718076468
209,n03792782_51686,2,2,2,2,120,0.45224177450132913,0.22524955274684705,0.32250867275182377
210,n04111531_16696,0,0,0,0,120,0.9863239154364231,0.00010181982370619407,0.013574264739870827
211,n03085013_24045,0,0,0,0,120,0.9997585185856094,3.4402667625941015e-05,0.0002070787467646213
212,n03376595_1135,0,0,2,0,120,0.971032475005498,0.02325843526736792,0.005709089727134064
213,n02123597_10,1,1,1,1,120,0.0004299937386501167,0.9995418153213869,2.819093996309486e-05
214,n01582220_9857,1,1,1,1,120,0.02710438881030629,0.9418075628565741,0.031088048333119726
215,n02690373_7748,2,2,2,2,120,0.0005393397128909987,0.0007743264377653749,0.9986863338493438
216,n02504013_5783,1,1,1,1,120,0.005713048432788409,0.9876523508499652,0.006634600717246368
217,n03792782_1442,2,2,2,2,120,0.07078818148256873,0.24515811807692364,0.6840537004405075
218,n04467665_2,2,2,2,2,120,0.3117232539850632,0.03919465928238773,0.6490820867325491
219,n04273569_13641,2,2,2,2,120,0.007830475976124749,0.2709651659048939,0.7212043581189813
220,n03417042_12013,2,2,2,2,120,0.00043703163264518884,6.235986414291635e-05,0.9995006085032118
221,n04111531_10216,2,0,0,0,120,0.3520271874734806,0.5250529845644569,0.12291982796206241
222,n02951358_34926,2,1,2,2,120,0.0004660720199045373,0.9803732450057684,0.0191606829743271
223,n02835271_15087,2,2,2,2,120,0.06668917454264923,0.0022999135160430583,0.9310109119413077
224,n02504013_2476,0,1,1,1,120,0.004533100394012644,0.9952321723044637,0.00023472730152364308
225,n03344393_5184,2,2,2,2,120,0.01687208029026021,0.04004947366310649,0.9430784460466334
226,n02504458_1302,1,1,1,1,120,0.0007778175151579697,0.9990572597105651,0.00016492277427695705
227,n03792782_8658,1,1,1,1,120,0.13980213031959107,0.133280019592652,0.7269178500877569
228,n02504458_1291,1,1,1,1,120,0.006014305500651727,0.8130446532410271,0.1809410412583211
229,n04111531_12903,0,0,0,0,120,0.48029726535876144,0.14735192515168447,0.3723508094895542
230,n04111531_5357,0,2,2,2,120,0.14914590822639592,0.0045185628718468615,0.8463355289017573
231,n02109047_26931,1,1,0,1,120,0.33127343705397305,0.6182788142732776,0.05044774867274929
232,n04111531_22563,0,0,0,0,120,0.8774966841727198,0.07760572350526139,0.04489759232201874
233,n04548280_4392,0,0,0,0,120,0.7869944321685186,0.07384339172621726,0.13916217610526432
234,n04273569_4772,2,0,2,2,120,0.005566503332223326,0.022291035132827496,0.9721424615349497
235,n02690373_9086,2,2,2,2,120,3.6162696979638274e-05,4.943120748325817e-05,0.9999144060955372
236,n01592084_3955,1,1,1,1,120,0.5721507746250901,0.4188612632856718,0.008987962089238017
237,n03085013_11685,0,0,0,0,120,0.991094924417271,0.00703698187367983,0.0018680937090491216
238,n04111531_22263,0,0,0,0,120,0.8209938365379539,0.11057557578001628,0.06843058768203003
239,n02690373_3090,2,2,2,2,120,0.004868565065224067,0.10918869810433449,0.8859427368304412
240,n02951358_6637,2,2,2,2,120,0.12105145410621157,0.07377318494782983,0.8051753609459587
241,n02025239_2481,1,1,1,1,120,1.9923444537294662e-06,0.9999959422811129,2.0653744334802923e-06
242,n02504013_6212,1,1,1,1,120,0.0017895334254431896,0.9973512126072659,0.0008592539672909703
243,n03085013_2640,0,0,0,0,120,0.695292332281105,0.0886513309895337,0.2160563367293613
244,n02835271_15639,2,2,2,2,120,0.019692391264058952,0.014969203900701982,0.9653384048352389
245,n03041632_87339,0,0,0,0,120,0.7584150992951842,0.20662378723067487,0.03496111347414103
246,n03041632_6309,0,0,0,0,120,0.9213004093393163,0.011148108892478316,0.06755148176820557
247,n02093647_1494,1,1,1,1,120,3.272763101200126e-05,0.9999600089450468,7.263423941244141e-06
248,n02099601_5760,1,1,1,1,120,0.0006888478885236174,0.9992805728268574,3.057928461892605e-05
249,n02134418_1083,2,1,1,1,120,0.024841167656930223,0.9311442175076275,0.04401461483544225
250,n03041632_11495,0,0,0,0,120,0.022404922469636608,0.9571401305722879,0.02045494695807558
251,n03041632_17338,0,0,0,0,120,0.9333716796486393,0.0026672567688662227,0.06396106358249426
252,n03376595_6012,2,0,2,2,120,0.5389566332015708,0.04411073791314791,0.41693262888528104
253,n03041632_77022,0,0,0,0,120,0.7852043717190839,0.16443846056574474,0.05035716771517147
254,n03792782_40466,2,2,2,2,120,0.019105369977601545,0.018896179598821988,0.9619984504235763
255,n03662601_12995,2,2,2,2,120,0.5224582408660307,0.2858649817288409,0.19167677740512845
256,n02504458_1790,1,1,0,1,120,0.00328459745199205,0.9785409585243876,0.018174444023620336
257,n03417042_21270,2,2,2,2,120,0.10603461330444833,0.21670804143114014,0.6772573452644115
258,n02951358_6089,2,2,2,2,120,0.10165349169739543,0.7962306974546518,0.10211581084795283
259,n02791124_2009,0,0,0,0,120,0.8724519496948112,0.09546507756502838,0.032082972740160656
260,n04111531_8193,0,0,0,0,120,0.937178020343598,0.0023836227613312356,0.06043835689507079
261,n02111500_4875,1,1,1,1,120,0.0011449631596729753,0.9982195125162365,0.0006355243240906234
262,n03344393_7018,2,2,2,2,120,0.2663741445460988,0.22576060351192323,0.5078652519419778
263,n02123159_6483,1,1,1,1,120,0.008125059043582418,0.9898114568794234,0.002063484076994216
264,n02132136_25168,1,1,1,1,120,0.0008627643724176173,0.9984500447864827,0.0006871908410995447
265,n03937543_5703,0,0,0,0,120,0.7246364820998027,0.11522515431548294,0.16013836358471442
266,n02123394_8605,0,1,1,1,120,0.04112425782086292,0.9461797394622622,0.01269600271687495
267,n02123597_7497,0,0,1,0,120,0.2421939442560826,0.4080286837343825,0.34977737200953485
268,n02134418_2367,1,1,1,1,120,0.007845780499904512,0.9871848738249048,0.004969345675190556
269,n03662601_10528,2,0,0,0,120,0.14604440439289387,0.10135678070514474,0.7525988149019615
270,n02690373_866,2,2,2,2,120,0.00040361152622166315,0.00015065055383673036,0.9994457379199416
271,n04099969_1527,0,0,0,0,120,0.9728433188054049,0.008036093223972482,0.019120587970622976
272,n03792782_22856,2,2,2,2,120,0.03276157004808783,0.08302499308820534,0.8842134368637069
273,n02835271_2900,2,2,0,2,120,0.6266308669384495,0.19107233274360272,0.18229680031794793
274,n04285008_16747,2,1,2,2,120,0.011732418419549995,0.04068873145919477,0.9475788501212554
275,n02132136_803,1,1,1,1,120,0.0060345654740967085,0.9910014958238293,0.002963938702073945
276,n01795545_1515,1,1,1,1,120,0.0002964197147745423,0.9996260390641006,7.754122112474092e-05
277,n04579145_6400,0,0,0,0,120,0.9914052870901533,0.0037416164239333608,0.004853096485913231
278,n02504013_15825,1,1,1,1,120,0.026885150144036165,0.9648714128730762,0.008243436982887676
279,n04111531_4868,0,0,0,0,120,0.9629954345347773,0.01690045455319951,0.020104110912023035
280,n04548280_711,0,0,0,0,120,0.6140179413928107,0.11857459285231108,0.26740746575487834
281,n02125311_1469,1,0,1,1,120,0.06010677986044715,0.858931181389585,0.08096203874996784
282,n03417042_9480,2,2,2,2,120,4.355080999946974e-05,1.594058770716751e-05,0.9999405086022934
283,n02504013_218,1,1,1,1,120,0.009352651451003245,0.9828490624053587,0.007798286143637996
284,n03417042_12626,2,1,2,2,120,0.19545260172351933,0.1160114950226572,0.6885359032538234
285,n02690373_5845,2,2,2,2,120,0.0812469884404893,0.059123416053046364,0.8596295955064641
286,n02951358_10162,2,2,2,2,120,0.0010749633797293653,0.0006947598183891976,0.9982302768018815
287,n04429376_54538,0,0,0,0,120,0.4551543655681496,0.5422577551964571,0.002587879235393254
288,n02504458_5190,1,1,1,1,120,0.004043053754389855,0.9953403313336059,0.0006166149120042945
289,n03792782_63173,2,1,1,1,120,0.14313711109220842,0.3639835223596547,0.492879366548137
290,n02123394_513,2,1,1,1,120,0.021802440964092527,0.9762880686320252,0.0019094904038821515
291,n04099969_9194,0,0,0,0,120,0.7673761969599329,0.1744919464950952,0.0581318565449718
